pattern,strategy_DRAD,attack_information_ratio,defense_budget,T_opt_DRAD,n_runs_DRAD,lookahead_runs_DRAD,infection_rate_DRAD,activation_rate_DRAD,detection_rate_DRAD,PAS_at_T_opt_DRAD,PS_at_T_opt_DRAD,EP_max_DRAD,mean_active_infectious_DRAD,mean_exposed_DRAD,mean_detected_DRAD,RT_DRAD,RI_DRAD,RE_DRAD,selected_policy_mode_DRAD,best_before_guard_mode_DRAD,safe_guard_mode_DRAD,strategy_CDP,T_opt_CDP,n_runs_CDP,lookahead_runs_CDP,infection_rate_CDP,activation_rate_CDP,detection_rate_CDP,PAS_at_T_opt_CDP,PS_at_T_opt_CDP,EP_max_CDP,mean_active_infectious_CDP,mean_exposed_CDP,mean_detected_CDP,RT_CDP,RI_CDP,RE_CDP,selected_policy_mode_CDP,best_before_guard_mode_CDP,safe_guard_mode_CDP,EP_improvement_vs_CDP_percent
DCDC,DRAD-CF-MPC,1.0,20,300,50,20,0.01,0.15,1e-05,0.497283204102969,0.94,0.4674462118567908,63.7,2.2,0.06,10.249467596315226,0.695484000497017,0.4189306632475258,CDP,CDP,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.5104644194132633,0.94,0.4798365542484674,64.14,2.24,0.06,10.494638201086696,0.6869162105453257,0.4079463171556139,CDP,CDP,,2.5822006018396904
DCDC,DRAD-CF-MPC,1.0,40,300,50,20,0.01,0.15,1e-05,0.2179029949596212,0.98,0.2135449350604288,26.34,1.5,0.02,4.747931513305486,0.8871776856189897,0.5586407178859849,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.2104682773050964,1.0,0.2104682773050964,24.66,1.14,0.0,4.620054369647658,0.8932222707840519,0.5639512304963596,CDP,CDP,,-1.4618154311482416
DCDC,DRAD-CF-MPC,1.0,60,300,50,20,0.01,0.15,1e-05,0.1067005228465621,1.0,0.1067005228465621,11.9,0.54,0.0,2.6858682609756817,0.959466987489001,0.5583121732208987,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1311915279300625,1.0,0.1311915279300625,14.32,0.66,0.0,3.0728261412949887,0.9437936880730942,0.5430052950437109,CDP,CDP,,18.668130076486143
DCDC,DRAD-CF-MPC,1.0,80,300,50,20,0.01,0.15,1e-05,0.1091511798376218,1.0,0.1091511798376218,13.26,0.78,0.0,2.571776989661755,0.9665615174691188,0.4949160112013211,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1127334764582999,1.0,0.1127334764582999,12.04,0.66,0.0,2.6233620609995194,0.9701296057146362,0.4929258464120555,CDP,CDP,,3.177668899416408
DCDC,DRAD-CF-MPC,1.0,100,300,50,20,0.01,0.15,1e-05,0.0732056115514257,0.94,0.0688132748583402,9.92,0.64,0.06,1.9516729501685348,0.9922629317261928,0.4633971942242871,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.0982456139042411,0.96,0.0943157893480714,10.8,0.46,0.04,2.2771929807551348,0.9814680808126124,0.4508771930478794,CDP,CDP,,27.039496425507348
DDAC,DRAD-CF-MPC,0.25,0,210,50,20,0.01,0.15,1e-05,0.842798993723513,0.92,0.775375074225632,101.58,2.06,0.08,17.855979874470258,0.4521806540797166,0.1572010062764871,NP,NP,zero_budget,CDP,210,50,20,0.01,0.15,1e-05,0.842798993723513,0.92,0.775375074225632,101.58,2.06,0.08,17.855979874470258,0.4521806540797166,0.1572010062764871,CDP,CDP,,0.0
DDAC,DRAD-CF-MPC,0.25,20,300,50,20,0.01,0.15,1e-05,0.4400214717285536,0.96,0.4224206128594114,52.06,2.48,0.04,9.184399374151097,0.7331860433764402,0.4666487735595387,CDP,CDP,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.4667264424960793,0.92,0.429388327096393,57.92,2.48,0.08,9.681111830427078,0.7150155349055809,0.4443946312532671,CDP,CDP,,1.6227069524880708
DDAC,DRAD-CF-MPC,0.25,40,300,50,20,0.01,0.15,1e-05,0.2071559099379094,0.96,0.198869673540393,24.68,0.96,0.04,4.563081650932041,0.8940849537473226,0.5663172071872077,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1877029345446932,0.96,0.1801948171629055,22.34,1.04,0.04,4.228490474168724,0.9074142487132012,0.5802121896109335,CDP,CDP,,-10.363703391369365
DDAC,DRAD-CF-MPC,0.25,60,300,50,20,0.01,0.15,1e-05,0.1262856537128722,1.0,0.1262856537128722,14.6,0.5,0.0,2.9953133286633817,0.945157797480014,0.5460714664294548,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1379414049355168,1.0,0.1379414049355168,15.44,0.54,0.0,3.179474197981165,0.9355428777110188,0.5387866219153019,CDP,CDP,,8.449784332709083
DDAC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.1245153723596031,1.0,0.1245153723596031,13.78,0.8,0.0,2.793021361978285,0.9625494579127918,0.4863803486891093,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1473775044822417,1.0,0.1473775044822417,16.42,0.58,0.0,3.1222360645442806,0.94454772179462,0.4736791641765323,CDP,CDP,,15.5126334936946
DDAC,DRAD-CF-MPC,0.25,100,300,50,20,0.01,0.15,1e-05,0.0897212508788771,0.96,0.086132400843722,9.56,0.42,0.04,2.166376261425404,0.9822402046331304,0.4551393745605613,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1042201731116167,0.96,0.1000513661871521,10.8,0.46,0.04,2.3548622504510184,0.9738512863789152,0.4478899134441916,CDP,CDP,,13.911819372116032
DDAC,DRAD-CF-MPC,0.5,0,180,50,20,0.01,0.15,1e-05,0.8322843106634334,0.96,0.7989929382368961,96.68,2.8,0.04,17.64568621326867,0.4590151980687682,0.1677156893365664,NP,NP,zero_budget,CDP,180,50,20,0.01,0.15,1e-05,0.8322843106634334,0.96,0.7989929382368961,96.68,2.8,0.04,17.64568621326867,0.4590151980687682,0.1677156893365664,CDP,CDP,,0.0
DDAC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.4746713643203406,0.92,0.4366976551747134,60.94,1.92,0.08,9.828887376358336,0.7096425143483046,0.4377738630663828,CDP,HYBRID,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.5107124267954629,0.96,0.4902839297236444,61.68,1.94,0.04,10.499251138395614,0.6872255976724954,0.4077396443371142,CDP,CDP,,10.929641234422345
DDAC,DRAD-CF-MPC,0.5,40,300,50,20,0.01,0.15,1e-05,0.1883788589696231,0.94,0.1770761274314456,25.16,1.0,0.06,4.240116374277517,0.9075872212682607,0.5797293864502693,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1742135618975551,0.96,0.1672450194216529,21.76,0.9,0.04,3.996473264637948,0.9161592093140114,0.5898474557874607,CDP,CDP,,-5.878266535966632
DDAC,DRAD-CF-MPC,0.5,60,300,50,20,0.01,0.15,1e-05,0.0995452368293457,1.0,0.0995452368293457,11.68,0.46,0.0,2.572814741903662,0.9618896413305542,0.5627842269816589,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1299157164033013,1.0,0.1299157164033013,14.32,0.66,0.0,3.0526683191721617,0.942407794025748,0.5438026772479366,CDP,CDP,,23.377063541289974
DDAC,DRAD-CF-MPC,0.5,80,300,50,20,0.01,0.15,1e-05,0.1075354338875553,0.98,0.1053847252098042,11.58,0.66,0.02,2.548510247980797,0.9697163554861358,0.495813647840247,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1141068164863347,1.0,0.1141068164863347,12.04,0.66,0.0,2.64313815740322,0.966973565319564,0.492162879729814,CDP,CDP,,7.643795125507339
DDAC,DRAD-CF-MPC,0.5,100,270,50,20,0.01,0.15,1e-05,0.0858395843523102,1.0,0.0858395843523102,8.52,0.44,0.0,2.115914596580033,0.9834892934057606,0.4570802078238449,CDP,PHYSICS,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1042201731116167,0.96,0.1000513661871521,10.8,0.46,0.04,2.3548622504510184,0.9738512863789152,0.4478899134441916,CDP,CDP,,14.204485532077452
DDAC,DRAD-CF-MPC,1.0,0,210,50,20,0.01,0.15,1e-05,0.8914946060483088,0.94,0.8380049296854102,107.98,1.42,0.06,18.82989212096617,0.4205285060685992,0.1085053939516912,NP,NP,zero_budget,CDP,210,50,20,0.01,0.15,1e-05,0.8914946060483088,0.94,0.8380049296854102,107.98,1.42,0.06,18.82989212096617,0.4205285060685992,0.1085053939516912,CDP,CDP,,0.0
DDAC,DRAD-CF-MPC,1.0,20,300,50,20,0.01,0.15,1e-05,0.4767075089844046,0.92,0.4385709082656522,57.64,2.28,0.08,9.866759667109926,0.7085278416881695,0.4360770758463295,CDP,HYBRID,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.5326055427371549,0.94,0.5006492101729255,64.14,2.24,0.06,10.90646309491108,0.672594119748882,0.3894953810523709,CDP,CDP,,12.399560539745448
DDAC,DRAD-CF-MPC,1.0,40,300,50,20,0.01,0.15,1e-05,0.1886152837896505,0.98,0.1848429781138575,22.72,0.98,0.02,4.24418288118199,0.9082210739132464,0.579560511578821,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.2158596131439899,1.0,0.2158596131439899,24.66,1.14,0.0,4.712785346076628,0.8905110096609065,0.5601002763257216,CDP,CDP,,14.368892160155482
DDAC,DRAD-CF-MPC,1.0,60,300,50,20,0.01,0.15,1e-05,0.1079458667975684,1.0,0.1079458667975684,12.42,0.52,0.0,2.705544695401581,0.9588962456291537,0.5575338332515197,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1299157164033013,1.0,0.1299157164033013,14.32,0.66,0.0,3.0526683191721617,0.942407794025748,0.5438026772479366,CDP,CDP,,16.91084821282293
DDAC,DRAD-CF-MPC,1.0,80,300,50,20,0.01,0.15,1e-05,0.1129433548216291,0.98,0.1106844877251965,11.92,0.76,0.02,2.6263843094314603,0.9674419223103712,0.4928092473213171,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP,300,50,20,0.01,0.15,1e-05,0.1141068164863347,1.0,0.1141068164863347,12.04,0.66,0.0,2.64313815740322,0.966973565319564,0.492162879729814,CDP,CDP,,2.999232531842704
