pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode
DCAC,DRAD-CF-MPC,1.0,40,300,50,20,0.01,0.15,1e-05,0.2290033358510298,0.98,0.2244232691340092,28.34,0.96,0.02,4.938857376637714,0.881569143038913,0.5507119029635502,CDP,HYBRID,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,1.0,60,300,50,20,0.01,0.15,1e-05,0.1165641568108621,1.0,0.1165641568108621,13.88,0.62,0.0,2.8417136776116223,0.9514029244118036,0.5521474019932111,CDP_PDP_90,CDP_PDP_90,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,1.0,80,300,50,20,0.01,0.15,1e-05,0.1103894646636104,1.0,0.1103894646636104,12.28,0.7,0.0,2.5896082911559897,0.9677147711340898,0.4942280751868831,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain
DCAC,DRAD-CF-MPC,1.0,100,300,50,20,0.01,0.15,1e-05,0.0809261956015125,0.96,0.077689147777452,9.5,0.48,0.04,2.052040542819663,0.9875652054122648,0.4595369021992437,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain
DCAC,NP,0.25,0,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,NP,NP,
DCAC,NP,0.5,0,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,NP,NP,
DCAC,NP,1.0,0,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,NP,NP,
DCAC,PDP,0.25,0,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,PDP,PDP,
DCAC,PDP,0.25,20,270,50,20,0.01,0.15,1e-05,0.7185344384022112,0.92,0.6610516833300344,90.22,1.44,0.08,14.364740554281124,0.5513526150385628,0.2345546346648241,PDP,PDP,
DCAC,PDP,0.25,40,300,50,20,0.01,0.15,1e-05,0.4742020992975593,0.9,0.4267818893678033,63.26,1.9,0.1,9.15627610791802,0.7276865121444233,0.375569929073172,PDP,PDP,
DCAC,PDP,0.25,60,300,50,20,0.01,0.15,1e-05,0.4079881734792259,0.9,0.3671893561313033,55.32,1.9,0.1,7.446213140971768,0.7883690443905083,0.3700073915754839,PDP,PDP,
DCAC,PDP,0.25,80,300,50,20,0.01,0.15,1e-05,0.3880429461401384,0.92,0.3569995104489273,47.34,1.48,0.08,6.5878184244179945,0.8173696277904893,0.3399761410332564,PDP,PDP,
DCAC,PDP,0.25,100,300,50,20,0.01,0.15,1e-05,0.3607756540721855,0.94,0.3391291148278543,40.62,1.2,0.06,5.690083502938412,0.8594336000031155,0.3196121729639072,PDP,PDP,
DCAC,PDP,0.5,0,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,PDP,PDP,
DCAC,PDP,0.5,20,210,50,20,0.01,0.15,1e-05,0.6870843810280414,0.96,0.6596010057869197,85.48,2.22,0.04,13.779769487121571,0.572595152331773,0.2607630158099654,PDP,PDP,
DCAC,PDP,0.5,40,240,50,20,0.01,0.15,1e-05,0.4915594478707255,0.98,0.4817282589133109,60.44,2.42,0.02,9.45482250337648,0.7196423558525085,0.3631718229494817,PDP,PDP,
DCAC,PDP,0.5,60,300,50,20,0.01,0.15,1e-05,0.4624000834069988,0.88,0.4069120733981589,63.58,1.68,0.12,8.305921317830583,0.7522399457854507,0.3359999478706257,PDP,PDP,
DCAC,PDP,0.5,80,270,50,20,0.01,0.15,1e-05,0.407406510746103,0.96,0.3911102503162589,48.7,1.5,0.04,6.866653754743884,0.8113874725919313,0.3292186051410538,PDP,PDP,
DCAC,PDP,0.5,100,300,50,20,0.01,0.15,1e-05,0.3607756540721855,0.94,0.3391291148278543,40.62,1.2,0.06,5.690083502938412,0.8594336000031155,0.3196121729639072,PDP,PDP,
DCAC,PDP,1.0,0,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,PDP,PDP,
DCAC,PDP,1.0,20,210,50,20,0.01,0.15,1e-05,0.7170726818469179,0.96,0.6883897745730411,89.4,2.12,0.04,14.337551882352676,0.5531027567995034,0.2357727651275684,PDP,PDP,
DCAC,PDP,1.0,40,240,50,20,0.01,0.15,1e-05,0.5141685351005858,0.96,0.4936017936965624,63.6,2.38,0.04,9.843698803730076,0.7041904521846191,0.347022474928153,PDP,PDP,
DCAC,PDP,1.0,60,300,50,20,0.01,0.15,1e-05,0.4624000834069988,0.88,0.4069120733981589,63.58,1.68,0.12,8.305921317830583,0.7522399457854507,0.3359999478706257,PDP,PDP,
DCAC,PDP,1.0,80,270,50,20,0.01,0.15,1e-05,0.407406510746103,0.96,0.3911102503162589,48.7,1.5,0.04,6.866653754743884,0.8113874725919313,0.3292186051410538,PDP,PDP,
DCAC,PDP,1.0,100,300,50,20,0.01,0.15,1e-05,0.3607756540721855,0.94,0.3391291148278543,40.62,1.2,0.06,5.690083502938412,0.8594336000031155,0.3196121729639072,PDP,PDP,
DCAC,RP,0.25,0,210,50,20,0.01,0.15,1e-05,0.8398174119327401,0.92,0.772632018978121,101.58,2.06,0.08,17.7963482386548,0.4541186822437189,0.1601825880672599,RP,RP,
DCAC,RP,0.25,20,210,50,20,0.01,0.15,1e-05,0.7483352172817791,0.96,0.718401808590508,85.64,2.0,0.04,14.919035041441097,0.5327821087668435,0.209720652265184,RP,RP,
DCAC,RP,0.25,40,300,50,20,0.01,0.15,1e-05,0.7672876803837074,0.94,0.7212504195606849,88.82,1.32,0.06,14.197348102599769,0.5388630077505902,0.1662230854402089,RP,RP,
DCAC,RP,0.25,60,300,50,20,0.01,0.15,1e-05,0.6296439694927852,0.9,0.5666795725435068,74.26,1.62,0.1,10.948374717986008,0.6447314198296895,0.2314725190670092,RP,RP,
DCAC,RP,0.25,80,300,50,20,0.01,0.15,1e-05,0.5120742589394577,0.94,0.4813498034030902,54.92,1.26,0.06,8.373869328728192,0.7389845475076454,0.2710698561447457,RP,RP,
DCAC,RP,0.25,100,300,50,20,0.01,0.15,1e-05,0.2946626190037283,0.92,0.2710896094834301,31.26,0.82,0.08,4.830614047048469,0.8898042077625077,0.3526686904981359,RP,RP,
DCAC,RP,0.5,0,180,50,20,0.01,0.15,1e-05,0.8381115062503707,0.96,0.8045870460003558,96.68,2.8,0.04,17.762230125007413,0.455227520937259,0.1618884937496292,RP,RP,
DCAC,RP,0.5,20,210,50,20,0.01,0.15,1e-05,0.7863978009855253,0.94,0.7392139329263937,91.62,1.68,0.06,15.626999098330776,0.5076414293594086,0.1780018325120622,RP,RP,
DCAC,RP,0.5,40,300,50,20,0.01,0.15,1e-05,0.7612263420672295,0.9,0.6851037078605066,92.74,1.08,0.1,14.09309308355635,0.5412028776563008,0.1705526128091218,RP,RP,
DCAC,RP,0.5,60,270,50,20,0.01,0.15,1e-05,0.6215502492509152,0.96,0.5966882392808786,67.74,1.1,0.04,10.82049393816446,0.6532211378247434,0.236531094218178,RP,RP,
DCAC,RP,0.5,80,300,50,20,0.01,0.15,1e-05,0.5614788498480404,0.98,0.5502492728510796,59.64,1.28,0.02,9.085295437811782,0.7122394674577954,0.243622861195533,RP,RP,
DCAC,RP,0.5,100,300,50,20,0.01,0.15,1e-05,0.2946626190037283,0.92,0.2710896094834301,31.26,0.82,0.08,4.830614047048469,0.8898042077625077,0.3526686904981359,RP,RP,
DCAC,RP,1.0,0,210,50,20,0.01,0.15,1e-05,0.8952924553163655,0.94,0.8415749079973835,107.98,1.42,0.06,18.90584910632731,0.4180599040443623,0.1047075446836344,RP,RP,
DCAC,RP,1.0,20,210,50,20,0.01,0.15,1e-05,0.7778089526250465,0.92,0.7155842364150428,91.36,1.68,0.08,15.467246518825869,0.5128241807937198,0.1851592061457946,RP,RP,
DCAC,RP,1.0,40,300,50,20,0.01,0.15,1e-05,0.7461090241684627,0.88,0.6565759412682471,92.08,1.1,0.12,13.83307521569756,0.5502291342904991,0.1813506970225266,RP,RP,
DCAC,RP,1.0,60,270,50,20,0.01,0.15,1e-05,0.6215502492509152,0.96,0.5966882392808786,67.74,1.1,0.04,10.82049393816446,0.6532211378247434,0.236531094218178,RP,RP,
