pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode,selected_policy
DDDC,DRAD-CF-MPC,0.5,40,300,50,20,0.01,0.15,1e-05,0.1892759862099385,0.98,0.1854904664857398,22.58,0.96,0.02,4.255546962810944,0.9083608202593216,0.5790885812786154,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DDDC,DRAD-CF-MPC,0.5,60,300,50,20,0.01,0.15,1e-05,0.1674753051701238,1.0,0.1674753051701238,18.52,0.7,0.0,3.646109821687957,0.9233445594552484,0.5203279342686726,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP_PHYSICS_90
DDDC,DRAD-CF-MPC,0.5,80,300,50,20,0.01,0.15,1e-05,0.1111967528694089,1.0,0.1111967528694089,12.82,0.72,0.0,2.601233241319489,0.9691542641523784,0.4937795817392172,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP
DDDC,DRAD-CF-MPC,0.5,100,240,50,20,0.01,0.15,1e-05,0.0656047295079188,1.0,0.0656047295079188,8.86,0.48,0.0,1.8528614836029444,0.9929161368356244,0.4671976352460405,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
DDDC,DRAD-CF-MPC,1.0,0,210,50,20,0.01,0.15,1e-05,0.8576676882278557,0.94,0.8062076269341842,107.98,1.42,0.06,18.15335376455711,0.4425160026518939,0.1423323117721444,NP,NP,zero_budget,NP
DDDC,DRAD-CF-MPC,1.0,20,300,50,20,0.01,0.15,1e-05,0.5197459316496356,0.96,0.4989560943836501,65.48,2.36,0.04,10.667274328683224,0.6813651444277368,0.4002117236253035,CDP,CDP,switched_with_counterfactual_gain,CDP
DDDC,DRAD-CF-MPC,1.0,40,300,50,20,0.01,0.15,1e-05,0.1625342214333013,0.98,0.1592835370046353,20.22,1.08,0.02,3.795588608652783,0.9230465863855756,0.5981898418333562,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
DDDC,DRAD-CF-MPC,1.0,60,300,50,20,0.01,0.15,1e-05,0.1639322424625845,1.0,0.1639322424625845,17.94,0.72,0.0,3.5901294309088354,0.9264792108123469,0.5225423484608847,CDP_PHYSICS_90,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP_PHYSICS_90
DDDC,DRAD-CF-MPC,1.0,80,300,50,20,0.01,0.15,1e-05,0.1094637690120414,1.0,0.1094637690120414,12.9,0.66,0.0,2.5762782737733967,0.9693193472302865,0.4947423505488658,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP
DDDC,DRAD-CF-MPC,1.0,100,240,50,20,0.01,0.15,1e-05,0.0755277795006941,1.0,0.0755277795006941,9.98,0.4,0.0,1.981861133509024,0.990799301638982,0.4622361102496529,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
