node_type,pattern,attack_information_ratio,defense_budget,T_opt,n_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,mean_affected_power_nodes,mean_affected_capacity,RT,RI,RE
CYBER_PHYSICS_OVERLAP,DCDC,1.0,60,300,40,0.01,0.15,1e-05,0.2738010195379085,0.975,0.2669559940494607,43.7,1.575,0.025,42.2,2016.41,5.326056108698954,0.8791502018087641,0.4538743627888071
CYBER_PHYSICS_OVERLAP,DCDC,1.0,100,300,40,0.01,0.15,1e-05,0.0841593124431304,1.0,0.0841593124431304,13.325,0.7,0.0,13.325,544.0550000000001,2.0940710617606957,0.9908253793648604,0.4579203437784348
CYBER_PHYSICS_OVERLAP,DDAC,0.25,20,300,40,0.01,0.15,1e-05,0.4898489879213558,0.95,0.4653565385252879,60.075,2.25,0.05,58.4,3830.480000000001,10.111191175337217,0.7005981578511188,0.4251258433988703
CYBER_PHYSICS_OVERLAP,DDAC,0.25,40,300,40,0.01,0.15,1e-05,0.2456812492789917,1.0,0.2456812492789917,29.4,0.9,0.0,29.4,1869.44,5.225717487598658,0.8771749743778307,0.5387991076578631
CYBER_PHYSICS_OVERLAP,DDAC,0.25,60,300,40,0.01,0.15,1e-05,0.1468335477209327,0.95,0.1394918703348861,19.3,1.05,0.05,18.425,1054.8849999999998,3.3199700539907377,0.9414291127098924,0.533229032674417
CYBER_PHYSICS_OVERLAP,DDAC,0.25,100,300,40,0.01,0.15,1e-05,0.1315008416985275,0.925,0.1216382785711379,14.575,0.9,0.075,13.475,1322.675,2.709510942080858,0.9708661594997328,0.4342495791507362
CYBER_PHYSICS_OVERLAP,DDAC,0.5,20,300,40,0.01,0.15,1e-05,0.4811363632049906,0.975,0.4691079541248658,57.825,2.45,0.025,56.475,3788.78,9.949136355612826,0.7066473143247085,0.4323863639958412
CYBER_PHYSICS_OVERLAP,DDAC,0.5,40,300,40,0.01,0.15,1e-05,0.2798411882397718,0.975,0.2728451585337775,35.45,1.825,0.025,33.875,2132.67,5.813268437724075,0.8564310517716983,0.514399151257306
CYBER_PHYSICS_OVERLAP,DDAC,0.5,60,300,40,0.01,0.15,1e-05,0.1583940069969909,0.975,0.1544341568220661,21.35,1.025,0.025,20.675,1100.6,3.5026253105524567,0.9328078601141372,0.5260037456268807
CYBER_PHYSICS_OVERLAP,DDAC,0.5,100,300,40,0.01,0.15,1e-05,0.1740826726406422,1.0,0.1740826726406422,17.75,0.675,0.0,17.75,1668.4150000000002,3.2630747443283483,0.9508866804484732,0.4129586636796789
CYBER_PHYSICS_OVERLAP,DDAC,1.0,20,300,40,0.01,0.15,1e-05,0.4708716638620146,0.925,0.4355562890723635,59.025,2.15,0.075,54.775,3694.31,9.758212947833474,0.7123193688976428,0.4409402801149878
CYBER_PHYSICS_OVERLAP,DDAC,1.0,40,300,40,0.01,0.15,1e-05,0.2544522492095649,0.925,0.2353683305188475,34.55,1.625,0.075,31.325,1953.83,5.376578686404516,0.8662973060531455,0.5325341077074537
CYBER_PHYSICS_OVERLAP,DDAC,1.0,60,300,40,0.01,0.15,1e-05,0.1580163248194918,1.0,0.1580163248194918,20.675,0.925,0.0,20.675,1034.965,3.4966579321479707,0.9392460927033628,0.5262397969878176
