pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode,sensitivity_type,sensitivity_value
RC,CDP,0.25,60,300,30,10,0.01,0.15,5e-06,0.1554116614349248,1.0,0.1554116614349248,17.7,0.6,0.0,3.455504250671813,0.9264668048426842,0.527867711603172,CDP,CDP,,detection_rate,5e-06
RC,CDP,0.25,100,240,30,10,0.01,0.15,5e-06,0.067349672343569,1.0,0.067349672343569,7.4,0.2333333333333333,0.0,1.8755457404663984,0.9926857611361252,0.4663251638282154,CDP,CDP,,detection_rate,5e-06
RC,CDP,0.5,20,300,30,10,0.01,0.15,5e-06,0.5196748850504783,0.9666666666666668,0.5023523888821291,63.833333333333336,1.7,0.0333333333333333,10.665952861938898,0.6815446580505224,0.4002709291246013,CDP,CDP,,detection_rate,5e-06
RC,CDP,0.5,60,300,30,10,0.01,0.15,5e-06,0.1331864935610839,1.0,0.1331864935610839,14.866666666666667,0.7,0.0,3.104346598265125,0.9429011008315538,0.5417584415243225,CDP,CDP,,detection_rate,5e-06
RC,CDP,0.5,100,240,30,10,0.01,0.15,5e-06,0.067349672343569,1.0,0.067349672343569,7.4,0.2333333333333333,0.0,1.8755457404663984,0.9926857611361252,0.4663251638282154,CDP,CDP,,detection_rate,5e-06
RC,CDP,1.0,20,300,30,10,0.01,0.15,5e-06,0.5538556797625086,0.9333333333333332,0.5169319677783414,67.43333333333334,2.1,0.0666666666666666,11.30171564358266,0.6586020439209522,0.3717869335312428,CDP,CDP,,detection_rate,5e-06
RC,CDP,1.0,60,300,30,10,0.01,0.15,5e-06,0.1331864935610839,1.0,0.1331864935610839,14.866666666666667,0.7,0.0,3.104346598265125,0.9429011008315538,0.5417584415243225,CDP,CDP,,detection_rate,5e-06
RC,CDP,1.0,100,240,30,10,0.01,0.15,5e-06,0.067349672343569,1.0,0.067349672343569,7.4,0.2333333333333333,0.0,1.8755457404663984,0.9926857611361252,0.4663251638282154,CDP,CDP,,detection_rate,5e-06
RC,DRAD-CF-MPC,0.25,20,300,30,10,0.01,0.15,5e-06,0.4639343027733841,0.9,0.4175408724960457,60.166666666666664,2.2333333333333334,0.1,9.629178031584946,0.7163842722972166,0.4467214143555134,CDP,CDP,cdp_best,detection_rate,5e-06
RC,DRAD-CF-MPC,0.25,60,300,30,10,0.01,0.15,5e-06,0.1406115107343332,1.0,0.1406115107343332,16.833333333333332,0.8,0.0,3.221661869602466,0.9414878587986292,0.5371178057910415,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
RC,DRAD-CF-MPC,0.25,100,300,30,10,0.01,0.15,5e-06,0.06492648045605,1.0,0.06492648045605,7.866666666666666,0.5666666666666667,0.0,1.8440442459286508,0.9927570167132748,0.4675367597719749,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
RC,DRAD-CF-MPC,0.5,20,300,30,10,0.01,0.15,5e-06,0.5704659070481967,0.9666666666666668,0.5514503768132568,70.7,1.7666666666666666,0.0333333333333333,11.610665871096456,0.6485304937520056,0.3579450774598362,CDP,CDP,switched_with_counterfactual_gain,detection_rate,5e-06
RC,DRAD-CF-MPC,0.5,60,300,30,10,0.01,0.15,5e-06,0.137526895422773,1.0,0.137526895422773,15.433333333333334,0.6,0.0,3.172924947679812,0.9447674360670084,0.5390456903607669,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
RC,DRAD-CF-MPC,0.5,100,240,30,10,0.01,0.15,5e-06,0.0595826612827099,1.0,0.0595826612827099,7.4,0.2666666666666666,0.0,1.77457459667523,0.9935452522874664,0.470208669358645,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
RC,DRAD-CF-MPC,1.0,20,300,30,10,0.01,0.15,5e-06,0.5840549308840898,0.9666666666666668,0.5645864331879534,70.6,1.9,0.0333333333333333,11.863421714444067,0.6396391973585911,0.3466208909299252,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
RC,DRAD-CF-MPC,1.0,60,300,30,10,0.01,0.15,5e-06,0.1440841789825114,0.9666666666666668,0.1392813730164277,16.733333333333334,0.6666666666666666,0.0333333333333333,3.27653002792368,0.9384306033877844,0.5349473881359301,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,detection_rate,5e-06
RC,DRAD-CF-MPC,1.0,100,300,30,10,0.01,0.15,5e-06,0.0594297748910026,1.0,0.0594297748910026,7.666666666666667,0.3,0.0,1.772587073583035,0.9934969452867902,0.4702851125544986,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,detection_rate,5e-06
DCAC,CDP,0.25,20,300,30,10,0.01,0.15,1e-05,0.4625956705601514,0.9,0.4163361035041362,59.1,2.8,0.1,9.604279472418815,0.717257475503022,0.4478369411998739,CDP,CDP,,detection_rate,1e-05
DCAC,CDP,0.25,60,300,30,10,0.01,0.15,1e-05,0.1551992568377658,1.0,0.1551992568377658,17.7,0.6,0.0,3.4521482580367,0.9270439542748706,0.5280004644763963,CDP,CDP,,detection_rate,1e-05
DCAC,CDP,0.25,100,240,30,10,0.01,0.15,1e-05,0.0761588070325306,1.0,0.0761588070325306,7.4,0.2333333333333333,0.0,1.9900644914228984,0.9874561109354132,0.4619205964837347,CDP,CDP,,detection_rate,1e-05
DCAC,CDP,0.5,20,300,30,10,0.01,0.15,1e-05,0.5216688327729817,0.9666666666666668,0.504279871680549,63.833333333333336,1.7,0.0333333333333333,10.703040289577462,0.680248592030895,0.3986093060225152,CDP,CDP,,detection_rate,1e-05
DCAC,CDP,0.5,60,300,30,10,0.01,0.15,1e-05,0.1284444983821407,1.0,0.1284444983821407,14.866666666666667,0.7,0.0,3.029423074437823,0.9448498062533794,0.544722188511162,CDP,CDP,,detection_rate,1e-05
DCAC,CDP,0.5,100,240,30,10,0.01,0.15,1e-05,0.0761588070325306,1.0,0.0761588070325306,7.4,0.2333333333333333,0.0,1.9900644914228984,0.9874561109354132,0.4619205964837347,CDP,CDP,,detection_rate,1e-05
DCAC,CDP,1.0,20,300,30,10,0.01,0.15,1e-05,0.5629643573696455,0.9333333333333332,0.5254334002116691,67.43333333333334,2.1,0.0666666666666666,11.4711370470754,0.6526849603576399,0.3641963688586289,CDP,CDP,,detection_rate,1e-05
DCAC,CDP,1.0,60,300,30,10,0.01,0.15,1e-05,0.1284444983821407,1.0,0.1284444983821407,14.866666666666667,0.7,0.0,3.029423074437823,0.9448498062533794,0.544722188511162,CDP,CDP,,detection_rate,1e-05
DCAC,CDP,1.0,100,240,30,10,0.01,0.15,1e-05,0.0761588070325306,1.0,0.0761588070325306,7.4,0.2333333333333333,0.0,1.9900644914228984,0.9874561109354132,0.4619205964837347,CDP,CDP,,detection_rate,1e-05
