mode,pattern,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,safe_guard_mode,best_before_guard_mode
NO_PHYSICS,DCDC,0.5,100,270,30,10,0.01,0.15,1e-05,0.0816770692478188,1.0,0.0816770692478188,11.266666666666667,0.4,0.0,2.061801900221646,0.9872099370276994,0.4591614653760906,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DCDC,1.0,0,300,30,10,0.01,0.15,1e-05,0.8506737729071747,0.8666666666666667,0.7372506031862182,115.86666666666666,0.4,0.1333333333333333,18.013475458143493,0.4470620476103363,0.1493262270928252,NP,zero_budget,NP
NO_PHYSICS,DCDC,1.0,20,300,30,10,0.01,0.15,1e-05,0.4632934669568622,0.9666666666666668,0.4478503513916334,59.3,1.8,0.0333333333333333,9.617258485397636,0.7181146979585786,0.4472554442026149,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,1.0,40,300,30,10,0.01,0.15,1e-05,0.23972280592311,1.0,0.23972280592311,29.333333333333332,1.2,0.0,5.123232261877493,0.8739072446376845,0.54305513862635,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,1.0,60,270,30,10,0.01,0.15,1e-05,0.1187253991291933,0.9666666666666668,0.1147678858248869,14.633333333333333,0.7666666666666667,0.0333333333333333,2.875861306241255,0.9550867223545986,0.550796625544254,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,1.0,80,270,30,10,0.01,0.15,1e-05,0.1296253738357798,1.0,0.1296253738357798,14.1,0.6666666666666666,0.0,2.86660538323523,0.95953422227862,0.4835414589801222,CDP,cdp_best,CDP
NO_PHYSICS,DCDC,1.0,100,270,30,10,0.01,0.15,1e-05,0.0822622807057192,1.0,0.0822622807057192,11.4,0.4666666666666667,0.0,2.0694096491743506,0.98766258951869,0.4588688596471405,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DDAC,0.25,0,210,30,10,0.01,0.15,1e-05,0.893793196147747,0.9666666666666668,0.8640000896094888,105.3,1.9666666666666663,0.0333333333333333,18.875863922954935,0.4190344225039644,0.106206803852253,NP,zero_budget,NP
NO_PHYSICS,DDAC,0.25,20,270,30,10,0.01,0.15,1e-05,0.4122186961338975,1.0,0.4122186961338975,47.46666666666667,2.2,0.0,8.667267748090495,0.7520578475129668,0.4898177532217521,CDP,cdp_best,CDP
NO_PHYSICS,DDAC,0.25,40,300,30,10,0.01,0.15,1e-05,0.215634925802094,1.0,0.215634925802094,24.066666666666663,1.1666666666666667,0.0,4.708920723796016,0.8917834627168447,0.5602607672842186,CDP,cdp_best,CDP
NO_PHYSICS,DDAC,0.25,60,270,30,10,0.01,0.15,1e-05,0.1379011981231127,1.0,0.1379011981231127,15.366666666666667,0.6666666666666666,0.0,3.1788389303451807,0.9423541598283062,0.5388117511730547,CDP,cdp_best,CDP
NO_PHYSICS,DDAC,0.25,80,270,30,10,0.01,0.15,1e-05,0.104901711271909,1.0,0.104901711271909,11.5,0.7,0.0,2.510584642315491,0.9720215846669495,0.4972768270711616,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DDAC,0.25,100,300,30,10,0.01,0.15,1e-05,0.1243089574005437,1.0,0.1243089574005437,12.7,0.6,0.0,2.616016446207069,0.9713511299028172,0.4378455212997281,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DDAC,0.5,0,300,30,10,0.01,0.15,1e-05,0.8908904979984399,0.9,0.8018014481985959,115.53333333333332,0.3666666666666666,0.1,18.817809959968805,0.420921176301014,0.1091095020015599,NP,zero_budget,NP
NO_PHYSICS,DDAC,0.5,20,300,30,10,0.01,0.15,1e-05,0.4685304076230551,0.9,0.4216773668607496,59.4,1.9666666666666663,0.1,9.714665581788823,0.7132145372458932,0.4428913269807875,CDP,cdp_best,CDP
NO_PHYSICS,DDAC,0.5,40,300,30,10,0.01,0.15,1e-05,0.2185770743850335,1.0,0.2185770743850335,26.033333333333335,1.3333333333333333,0.0,4.759525679422578,0.8900775647709244,0.5581592325821189,CDP,cdp_best,CDP
NO_PHYSICS,DDAC,0.5,60,210,30,10,0.01,0.15,1e-05,0.1028741205395026,1.0,0.1028741205395026,11.066666666666666,0.8333333333333334,0.0,2.6254111045241406,0.9605969922312017,0.5607036746628109,CDP,cdp_best,CDP
NO_PHYSICS,DDAC,0.5,80,270,30,10,0.01,0.15,1e-05,0.0967523705849776,1.0,0.0967523705849776,10.166666666666666,0.7,0.0,2.3932341364236787,0.9756175260689296,0.5018042385639013,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DDAC,0.5,100,300,30,10,0.01,0.15,1e-05,0.1414547711098288,1.0,0.1414547711098288,14.166666666666666,0.7666666666666667,0.0,2.8389120244277755,0.9624499491920055,0.4292726144450854,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DDAC,1.0,0,150,30,10,0.01,0.15,1e-05,0.8300770330699971,1.0,0.8300770330699971,91.36666666666666,3.033333333333333,0.0,17.601540661399948,0.4604499285045017,0.1699229669300027,NP,zero_budget,NP
NO_PHYSICS,DDAC,1.0,20,300,30,10,0.01,0.15,1e-05,0.4812889789227965,0.9666666666666668,0.4652460129587032,58.93333333333333,1.8333333333333333,0.0333333333333333,9.951975007964016,0.7064954970335156,0.432259184231003,CDP,cdp_best,CDP
NO_PHYSICS,DDAC,1.0,40,300,30,10,0.01,0.15,1e-05,0.244616600091926,1.0,0.244616600091926,28.9,1.1333333333333333,0.0,5.207405521581127,0.8722628370322189,0.53955957136291,CDP,cdp_best,CDP
NO_PHYSICS,DDAC,1.0,60,210,30,10,0.01,0.15,1e-05,0.1028741205395026,1.0,0.1028741205395026,11.066666666666666,0.8333333333333334,0.0,2.6254111045241406,0.9605969922312017,0.5607036746628109,CDP,cdp_best,CDP
NO_PHYSICS,DDAC,1.0,80,270,30,10,0.01,0.15,1e-05,0.0988463690366009,1.0,0.0988463690366009,10.366666666666667,0.7,0.0,2.423387714127054,0.9756175260689296,0.5006409060907773,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DDAC,1.0,100,300,30,10,0.01,0.15,1e-05,0.1438724910147917,1.0,0.1438724910147917,14.566666666666666,0.7333333333333333,0.0,2.8703423831922925,0.9613048120500534,0.4280637544926041,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DDDC,0.25,0,210,30,10,0.01,0.15,1e-05,0.8551752847774166,0.9666666666666668,0.8266694419515027,105.3,1.9666666666666663,0.0333333333333333,18.10350569554833,0.4441360648946792,0.1448247152225835,NP,zero_budget,NP
NO_PHYSICS,DDDC,0.25,20,300,30,10,0.01,0.15,1e-05,0.489296712143747,0.9333333333333332,0.4566769313341639,62.63333333333333,2.1333333333333333,0.0666666666666666,10.100918845873696,0.7006238037732311,0.4255860732135441,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,0.25,40,300,30,10,0.01,0.15,1e-05,0.2044938639680988,1.0,0.2044938639680988,23.133333333333333,1.2333333333333334,0.0,4.517294460251301,0.8979065596401148,0.5682186685942152,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,0.25,60,270,30,10,0.01,0.15,1e-05,0.1705923306071468,1.0,0.1705923306071468,18.5,0.9333333333333332,0.0,3.69535882359292,0.9242736469301638,0.5183797933705331,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,0.25,80,270,30,10,0.01,0.15,1e-05,0.1561094584402497,1.0,0.1561094584402497,17.2,0.8666666666666667,0.0,3.2479762015395957,0.9510917369605304,0.4688280786443056,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,0.25,100,270,30,10,0.01,0.15,1e-05,0.1061398891591313,1.0,0.1061398891591313,13.933333333333334,0.2,0.0,2.3798185590687067,0.9810483318034094,0.4469300554204343,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DDDC,0.5,0,300,30,10,0.01,0.15,1e-05,0.8842639996388598,0.9,0.7958375996749738,115.53333333333332,0.3666666666666666,0.1,18.6852799927772,0.425228400234741,0.1157360003611401,NP,zero_budget,NP
NO_PHYSICS,DDDC,0.5,20,300,30,10,0.01,0.15,1e-05,0.4908680504121159,0.9333333333333332,0.4581435137179749,61.93333333333333,2.066666666666667,0.0666666666666666,10.130145737665355,0.6996024338987913,0.42427662465657,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,0.5,40,300,30,10,0.01,0.15,1e-05,0.2298826405961138,0.9666666666666668,0.2222198859095767,25.766666666666666,1.2,0.0333333333333333,4.953981418253158,0.8801259315259178,0.550083828145633,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,0.5,60,270,30,10,0.01,0.15,1e-05,0.138107264534436,0.9666666666666668,0.1335036890499548,14.933333333333334,0.6666666666666666,0.0333333333333333,3.1820947796440886,0.9423002924839672,0.5386829596659776,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,0.5,80,270,30,10,0.01,0.15,1e-05,0.1483944791182482,1.0,0.1483944791182482,15.666666666666666,0.8,0.0,3.1368804993027752,0.9475705995330856,0.4731141782676399,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,0.5,100,270,30,10,0.01,0.15,1e-05,0.105297175055814,1.0,0.105297175055814,14.0,0.2666666666666666,0.0,2.3688632757255825,0.9811025982070832,0.447351412472093,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,DDDC,1.0,0,150,30,10,0.01,0.15,1e-05,0.7452677203001112,1.0,0.7452677203001112,91.36666666666666,3.033333333333333,0.0,15.905354406002228,0.5155759818049277,0.2547322796998887,NP,zero_budget,NP
NO_PHYSICS,DDDC,1.0,20,300,30,10,0.01,0.15,1e-05,0.5026202286186977,0.9666666666666668,0.4858662209980744,63.1,1.7333333333333334,0.0333333333333333,10.348736252307775,0.6926301847311801,0.4144831428177519,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,1.0,40,300,30,10,0.01,0.15,1e-05,0.2165138008512293,0.9666666666666668,0.2092966741561883,24.266666666666666,0.8,0.0333333333333333,4.724037374641147,0.8872867377348322,0.5596329993919791,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,1.0,60,270,30,10,0.01,0.15,1e-05,0.1361584129186047,0.9666666666666668,0.1316197991546513,14.633333333333333,0.6666666666666666,0.0333333333333333,3.151302924113956,0.9423002924839672,0.539900991925872,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,1.0,80,270,30,10,0.01,0.15,1e-05,0.1483944791182482,1.0,0.1483944791182482,15.666666666666666,0.8,0.0,3.1368804993027752,0.9475705995330856,0.4731141782676399,CDP,cdp_best,CDP
NO_PHYSICS,DDDC,1.0,100,270,30,10,0.01,0.15,1e-05,0.1122803766784106,1.0,0.1122803766784106,14.766666666666667,0.3333333333333333,0.0,2.459644896819337,0.9806786308281424,0.4438598116607947,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,RC,0.25,0,210,30,10,0.01,0.15,1e-05,0.869358709557365,0.9666666666666668,0.8403800859054529,105.3,1.9666666666666663,0.0333333333333333,18.3871741911473,0.4349168387877128,0.1306412904426351,NP,zero_budget,NP
NO_PHYSICS,RC,0.25,20,270,30,10,0.01,0.15,1e-05,0.4678718389790495,1.0,0.4678718389790495,54.233333333333334,2.6333333333333333,0.0,9.70241620501032,0.7158833046636175,0.4434401341841253,CDP,cdp_best,CDP
NO_PHYSICS,RC,0.25,40,300,30,10,0.01,0.15,1e-05,0.1868087759980755,1.0,0.1868087759980755,21.6,1.0333333333333334,0.0,4.2131109471669,0.9091800313280858,0.5808508742870889,CDP,cdp_best,CDP
NO_PHYSICS,RC,0.25,60,270,30,10,0.01,0.15,1e-05,0.1570316080772731,1.0,0.1570316080772731,18.133333333333333,1.0333333333333334,0.0,3.4810994076209165,0.9344663730821664,0.5268552449517043,CDP,cdp_best,CDP
NO_PHYSICS,RC,0.25,80,270,30,10,0.01,0.15,1e-05,0.081297026915484,1.0,0.081297026915484,10.4,0.5666666666666667,0.0,2.17067718758297,0.9847529690755829,0.5103905406025089,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,RC,0.25,100,300,30,10,0.01,0.15,1e-05,0.1085048581493821,1.0,0.1085048581493821,13.666666666666666,1.0,0.0,2.410563155941969,0.9825791925880945,0.445747570925309,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,RC,0.5,0,300,30,10,0.01,0.15,1e-05,0.8872833607550062,0.9,0.7985550246795057,115.53333333333332,0.3666666666666666,0.1,18.745667215100124,0.4232658155092459,0.1127166392449938,NP,zero_budget,NP
NO_PHYSICS,RC,0.5,20,300,30,10,0.01,0.15,1e-05,0.4873886205792339,0.9333333333333332,0.4548960458739516,61.266666666666666,2.1666666666666665,0.0666666666666666,10.06542834277375,0.7018640632901647,0.4271761495173051,CDP,cdp_best,CDP
NO_PHYSICS,RC,0.5,40,300,30,10,0.01,0.15,1e-05,0.2099887936800124,0.9666666666666668,0.2029891672240119,25.766666666666666,1.2,0.0333333333333333,4.611807251296212,0.8929048597552075,0.5642937187999912,CDP,cdp_best,CDP
NO_PHYSICS,RC,0.5,60,270,30,10,0.01,0.15,1e-05,0.1137563349110912,0.9666666666666668,0.1099644570807215,13.9,0.7333333333333333,0.0333333333333333,2.7973500915952423,0.9553538447767748,0.553902290680568,CDP,cdp_best,CDP
NO_PHYSICS,RC,0.5,80,300,30,10,0.01,0.15,1e-05,0.079327620932778,1.0,0.079327620932778,10.533333333333331,0.7666666666666667,0.0,2.1423177414320045,0.9811274890300228,0.5114846550373455,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,RC,0.5,100,300,30,10,0.01,0.15,1e-05,0.1001391160668043,1.0,0.1001391160668043,12.866666666666667,1.0,0.0,2.301808508868457,0.9887629956005242,0.4499304419665978,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,RC,1.0,0,150,30,10,0.01,0.15,1e-05,0.7758686679880886,1.0,0.7758686679880886,91.36666666666666,3.033333333333333,0.0,16.51737335976177,0.4956853658077424,0.2241313320119115,NP,zero_budget,NP
NO_PHYSICS,RC,1.0,20,300,30,10,0.01,0.15,1e-05,0.4807721703990256,0.9666666666666668,0.4647464313857247,59.56666666666667,1.6333333333333333,0.0333333333333333,9.942362369421875,0.7068314225739667,0.432689858000812,CDP,cdp_best,CDP
NO_PHYSICS,RC,1.0,40,300,30,10,0.01,0.15,1e-05,0.2052277901165988,0.9666666666666668,0.1983868637793788,24.233333333333334,0.8333333333333334,0.0333333333333333,4.5299179900055,0.8956003225672892,0.5676944356310009,CDP,cdp_best,CDP
NO_PHYSICS,RC,1.0,60,270,30,10,0.01,0.15,1e-05,0.1047504638478296,0.9666666666666668,0.1012587817195686,12.933333333333334,0.6333333333333333,0.0333333333333333,2.655057328795708,0.9593021322444594,0.5595309600951065,CDP,cdp_best,CDP
NO_PHYSICS,RC,1.0,80,300,30,10,0.01,0.15,1e-05,0.079327620932778,1.0,0.079327620932778,10.533333333333331,0.7666666666666667,0.0,2.1423177414320045,0.9811274890300228,0.5114846550373455,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_PHYSICS,RC,1.0,100,300,30,10,0.01,0.15,1e-05,0.0976678204639791,1.0,0.0976678204639791,12.433333333333334,1.0,0.0,2.269681666031729,0.9887629956005242,0.4511660897680104,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
NO_RANK,DCAC,0.25,0,240,30,10,0.01,0.15,1e-05,0.8903361804779772,0.9333333333333332,0.8309804351127787,108.8,1.4333333333333331,0.0666666666666666,18.80672360955954,0.4212814826893148,0.1096638195220228,NP,zero_budget,NP
NO_RANK,DCAC,0.25,20,270,30,10,0.01,0.15,1e-05,0.4134334616499068,0.9666666666666668,0.3996523462615766,49.666666666666664,2.3666666666666667,0.0333333333333333,8.689862386688269,0.7506015832608938,0.4888054486250776,CDP,switched_with_counterfactual_gain,CDP_PHYSICS_90
